employee_id,department,position,salary,satisfaction_score,productivity_score,tenure_years,age,training_hours,performance_rating
EMP_0001,Engineering,Senior,95000,8.5,92,5.2,32,45,4.2
EMP_0002,Sales,Manager,110000,7.8,88,8.1,38,35,4.5
EMP_0003,Marketing,Junior,55000,9.1,85,1.5,25,60,3.8
EMP_0004,HR,Mid-level,68000,8.2,90,3.7,29,40,4.1
EMP_0005,Finance,Senior,88000,7.5,94,6.8,35,25,4.3
EMP_0006,Operations,Lead,105000,8.9,96,7.2,41,30,4.6
EMP_0007,Engineering,Junior,62000,8.7,83,2.1,26,55,3.9
EMP_0008,Sales,Mid-level,72000,8.0,87,4.3,31,38,4.0
EMP_0009,Marketing,Senior,82000,7.9,91,5.9,33,32,4.2
EMP_0010,HR,Manager,98000,8.4,89,9.1,42,28,4.4
EMP_0011,Finance,Junior,58000,8.1,86,1.8,24,50,3.7
EMP_0012,Operations,Mid-level,75000,8.6,93,4.7,30,42,4.1
EMP_0013,Engineering,Lead,115000,9.2,97,8.5,39,35,4.7
EMP_0014,Sales,Junior,51000,7.6,82,1.2,23,65,3.6
EMP_0015,Marketing,Manager,95000,8.3,90,6.4,36,30,4.3
EMP_0016,HR,Senior,78000,8.8,92,5.1,32,38,4.2
EMP_0017,Finance,Mid-level,71000,7.7,88,3.9,28,35,4.0
EMP_0018,Operations,Junior,59000,8.5,84,2.3,27,58,3.8
EMP_0019,Engineering,Manager,125000,9.0,95,10.2,44,25,4.8
EMP_0020,Sales,Senior,85000,8.1,89,5.6,34,40,4.2
